"race","driver1_name","driver1_avg_lap_ms","driver1_avg_stddev_ms","driver1_lap_cv","driver2_name","driver2_avg_lap_ms","driver2_avg_stddev_ms","driver2_lap_cv","cv_diff"
"French Grand Prix","Verstappen","98976.792452830189","4012.504667423552","0.04053985351501271602","Pérez","99143.037735849057","3222.842909858553","0.03250700183754010231","-0.00803285167747261371"
"Hungarian Grand Prix","Giovinazzi","109026.492753623188","178086.29123699","1.6334221778501795","Räikkönen","108699.434782608696","180228.61244717","1.6580455345293624","0.0246233566791829"
"Hungarian Grand Prix","Gasly","107811.614285714286","178531.24107816","1.6559555504384699","Tsunoda","107985.742857142857","179494.56800442","1.6622061695855352","0.0062506191470653"
"Hungarian Grand Prix","Russell","108032.757142857143","179221.32649353","1.6589535547679917","Latifi","108015.842857142857","179298.40126688","1.6599268822446020","0.0009733274766103"
"Hungarian Grand Prix","Ocon","106902.842857142857","180357.26319328","1.6871138163677860","Alonso","107126.428571428571","179722.08218509","1.6776633421066297","-0.0094504742611563"
"Italian Grand Prix","Giovinazzi","93237.377358490566","15766.84873791","0.16910437835770171537","Kubica","93285.547169811321","16317.77637044","0.17492287782518030412","0.00581849946747858875"
"Italian Grand Prix","Russell","93096.358490566038","16665.67843838","0.17901536331379518067","Latifi","93171.849056603774","15932.97524053","0.17100632220844298995","-0.00800904110535219072"
"Italian Grand Prix","Ocon","93117.603773584906","16812.04226410","0.18054633692012109595","Alonso","93048.415094339623","16625.98774328","0.17868104176114443092","-0.00186529515897666503"
"Italian Grand Prix","Stroll","93022.056603773585","16814.84816649","0.18076194808412652773","Vettel","93188.415094339623","15288.48743516","0.16405995766407922535","-0.01670199042004730238"
"Italian Grand Prix","Sainz","92922.641509433962","17734.11321230","0.19084813909965684637","Leclerc","92861.773584905660","18823.43066770","0.20270376001907074789","0.01185562091941390152"
"Italian Grand Prix","Ricciardo","92723.867924528302","18091.86209432","0.19511548104362618544","Norris","92756.830188679245","17457.66213392","0.18820891246939858222","-0.00690656857422760322"
"Mexico City Grand Prix","Russell","86346.202898550725","9814.548505661963","0.11366508515948528139","Latifi","86556.173913043478","10291.89622092","0.11890424166922511278","0.00523915650973983139"
"Mexico City Grand Prix","Giovinazzi","85429.785714285714","9912.320015205872","0.11602885261069216279","Räikkönen","84774.928571428571","10165.29791165","0.11990924773336793536","0.00388039512267577257"
"Mexico City Grand Prix","Ocon","85606.557142857143","10199.74457003","0.11914676761277799294","Alonso","84896.785714285714","10257.35095600","0.12082142886446146832","0.00167466125168347538"
